record_id,redcap_event_name,type_of_event,constitutional_event,constitutional_event_other,state,state_other,year,language,language_other,translation,constitution_complete,coder_name,coder_name_other,codeable,type_coder,peak_identified,court_name,process_type,flowchart,flowchart_conf,actors,rectangles,diamonds,event_notes,did_you_translate,translated_text,translator_name,other_tranlsator_name,process_complete,flowchart_change,which_year_compared,describe_change,significant_change,type_of_change,significance_justification,changes_is_this_a_new_constitution,changes_is_this_a_new_institution,new_institution_explanation,judges_selected_individually_or_slate,describe_selected_individually_or_slate,number_nominators,number_selectors,complication,legislature_involved,changes_notes,changes_over_time_complete
"Afghanistan 1923",general_informatio_arm_1,1,[document],,1,,1923,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan 1923",appointment_1_arm_1,,,,,,,,,,,6,,3,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"Afghanistan 1923",removal_1_arm_1,,,,,,,,,,,6,,3,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Afghanistan_1925,general_informatio_arm_1,2,[document],,1,,1925,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan_1925,appointment_1_arm_1,,,,,,,,,,,6,,3,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Afghanistan_1925,removal_1_arm_1,,,,,,,,,,,6,,3,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Afghanistan_1931,general_informatio_arm_1,1,[document],,1,,1931,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan_1931,appointment_1_arm_1,,,,,,,,,,,6,,4,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Afghanistan_1931,removal_1_arm_1,,,,,,,,,,,6,,4,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Afghanistan_1933,general_informatio_arm_1,2,[document],,1,,1933,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan_1933,appointment_1_arm_1,,,,,,,,,,,6,,4,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Afghanistan_1933,removal_1_arm_1,,,,,,,,,,,6,,4,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Afghanistan_1964,general_informatio_arm_1,1,[document],,1,,1964,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan_1964,appointment_1_arm_1,,,,,,,,,,,6,,1,1,1,"The Supreme Court ",1,[document],60,1,0,1,,,,,,1,,,,,,,,,,,,,,,,,
Afghanistan_1964,appointment_2_arm_1,,,,,,,,,,,20,,1,1,1,"Supreme Court",1,[document],60,1,1,0,"There are nine judges- article 105    Nancy reconciling june 2016: added names of institutional actors",,,,,2,,,,,,,,,,,,,,,,,
Afghanistan_1964,removal_1_arm_1,,,,,,,,,,,6,,1,1,1,"The Supreme Court ",2,[document],60,10,4,1,,,,,,1,,,,,,,,,,,,,,,,,
Afghanistan_1964,removal_2_arm_1,,,,,,,,,,,20,,1,1,1,"Supreme Court",2,[document],40,4,1,3,"Not sure if Commission on Inquiry is just a part of the Great Council. article 105, 106",,,,,2,,,,,,,,,,,,,,,,,
Afghanistan_1964,appointment_change_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,4,,10,1,1,2,,1
Afghanistan_1976,general_informatio_arm_1,1,[document],,1,,1976,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan_1976,appointment_1_arm_1,,,,,,,,,,,6,,1,1,1,"The Supreme Court ",1,[document],60,1,0,1,,,,,,1,,,,,,,,,,,,,,,,,
Afghanistan_1976,removal_1_arm_1,,,,,,,,,,,6,,1,1,1,"The Supreme Court ",2,[document],60,9,2,1,,,,,,1,,,,,,,,,,,,,,,,,
Afghanistan_1976,appointment_change_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1964,"from king appoints to president appoints",2,,,1,2,"name supreme court in both 1964 and 1976",4,,10,1,1,2,,1
